code_commune,nom_standard,population,latitude_centre,longitude_centre
77355,Paroy,176,48.481,3.202
77356,Passy-sur-Seine,44,48.429,3.346
77357,Pécy,846,48.647,3.075
77358,Penchard,1354,48.991,2.858
77359,Perthes,2040,48.48,2.55
77360,Pézarches,398,48.744,2.99
77361,Pierre-Levée,467,48.897,3.037
77363,Le Pin,1548,48.914,2.628
77364,Le Plessis-aux-Bois,258,49.004,2.768
77365,Le Plessis-Feu-Aussoux,615,48.713,3.039
77366,Le Plessis-l'Évêque,292,49.007,2.796
77367,Le Plessis-Placy,288,49.053,2.985
77368,Poigny,504,48.545,3.277
77369,Poincy,764,48.973,2.924
77370,Poligny,778,48.234,2.756
77371,Pommeuse,3015,48.818,3.006
77372,Pomponne,4158,48.887,2.675
77373,Pontault-Combault,38258,48.787,2.614
77374,Pontcarré,2156,48.796,2.707
77376,Précy-sur-Marne,779,48.932,2.768
77377,Presles-en-Brie,2313,48.713,2.737
77378,Pringy,3558,48.518,2.55
77379,Provins,11958,48.563,3.288
77380,Puisieux,319,49.065,2.915
77381,Quiers,656,48.614,2.962
77382,Quincy-Voisins,5435,48.899,2.878
77383,Rampillon,831,48.541,3.073
77384,Réau,1966,48.607,2.624
77385,Rebais,2289,48.858,3.233
77386,Recloses,616,48.34,2.643
77387,Remauville,469,48.221,2.825
77388,Reuil-en-Brie,816,48.957,3.163
77389,La Rochette,3870,48.507,2.66
77390,Roissy-en-Brie,23061,48.79,2.661
77391,Rouilly,493,48.592,3.289
77392,Rouvres,1005,49.064,2.718
77393,Rozay-en-Brie,2819,48.684,2.964
77394,Rubelles,3273,48.565,2.68
77395,Rumont,122,48.27,2.495
77396,Rupéreux,100,48.643,3.327
77397,Saâcy-sur-Marne,1864,48.951,3.217
77398,Sablonnières,745,48.876,3.293
77400,Saint-Augustin,1820,48.789,3.029
77401,Sainte-Aulde,678,49.003,3.175
77402,Saint-Barthélemy,338,48.82,3.364
77403,Saint-Brice,810,48.572,3.334
77404,Sainte-Colombe,1793,48.534,3.259
77405,Saint-Cyr-sur-Morin,1954,48.912,3.175
77406,Saint-Denis-lès-Rebais,1012,48.845,3.199
77407,Saint-Fargeau-Ponthierry,14516,48.539,2.525
77408,Saint-Fiacre,458,48.925,2.954
77409,Saint-Germain-Laval,2828,48.409,2.995
77410,Saint-Germain-Laxis,741,48.586,2.706
77411,Saint-Germain-sous-Doue,557,48.851,3.139
77412,Saint-Germain-sur-École,377,48.474,2.511
77413,Saint-Germain-sur-Morin,3881,48.875,2.84
77414,Saint-Hilliers,484,48.629,3.258
77415,Saint-Jean-les-Deux-Jumeaux,1285,48.939,3.027
77416,Saint-Just-en-Brie,255,48.611,3.121
77417,Saint-Léger,249,48.844,3.271
77418,Saint-Loup-de-Naud,869,48.537,3.218
77419,Saint-Mammès,3302,48.387,2.819
77420,Saint-Mard,3847,49.039,2.697
77421,Saint-Mars-Vieux-Maisons,252,48.738,3.32
77423,Saint-Martin-des-Champs,657,48.788,3.334
77424,Saint-Martin-du-Boschet,270,48.732,3.429
77425,Saint-Martin-en-Bière,734,48.434,2.575
77426,Saint-Méry,333,48.57,2.838
77427,Saint-Mesmes,613,48.986,2.715
77428,Saint-Ouen-en-Brie,833,48.566,2.92
77429,Saint-Ouen-sur-Morin,530,48.907,3.202
